DATE,DEATHS
2020-03-07,1
2020-03-10,1
2020-03-11,3
2020-03-13,3
2020-03-14,7
2020-03-15,7
2020-03-16,11
2020-03-17,15
2020-03-18,25
2020-03-19,35
2020-03-20,40
2020-03-21,41
2020-03-22,55
2020-03-23,82
2020-03-24,76
2020-03-25,111
2020-03-26,102
2020-03-27,136
2020-03-28,143
2020-03-29,145
2020-03-30,171
2020-03-31,201
2020-04-01,241
2020-04-02,214
2020-04-03,242
2020-04-04,269
2020-04-05,246
2020-04-06,255
2020-04-07,276
2020-04-08,324
2020-04-09,270
2020-04-10,304
2020-04-11,288
2020-04-12,268
2020-04-13,275
2020-04-14,259
2020-04-15,280
2020-04-16,245
2020-04-17,205
2020-04-18,210
2020-04-19,186
2020-04-20,208
2020-04-21,192
2020-04-22,181
2020-04-23,156
2020-04-24,156
2020-04-25,142
2020-04-26,152
2020-04-27,132
2020-04-28,113
2020-04-29,107
2020-04-30,91
2020-05-01,94
2020-05-02,79
2020-05-03,91
2020-05-04,93
2020-05-05,84
2020-05-06,77
2020-05-07,68
2020-05-08,80
2020-05-09,76
2020-05-10,72
2020-05-11,66
2020-05-12,47
2020-05-13,60
2020-05-14,46
2020-05-15,47
2020-05-16,29
2020-05-17,32
2020-05-18,39
2020-05-19,36
2020-05-20,31
2020-05-21,38
2020-05-22,42
2020-05-23,28
2020-05-24,32
2020-05-25,26
2020-05-26,26
2020-05-27,25
2020-05-28,28
2020-05-29,16
2020-05-30,25
2020-05-31,22
2020-06-01,21
2020-06-02,24
2020-06-03,19
2020-06-04,17
2020-06-05,13
2020-06-06,11
2020-06-07,12
2020-06-08,10
2020-06-09,12
2020-06-10,15
2020-06-11,9
2020-06-12,10
2020-06-13,5
2020-06-14,5
2020-06-15,8
2020-06-16,9
2020-06-17,8
2020-06-18,5
2020-06-19,4
2020-06-20,4
2020-06-21,8
2020-06-22,12
2020-06-23,4
2020-06-24,5
2020-06-25,5
2020-06-26,2
2020-06-27,8
2020-06-28,5
2020-06-29,3
2020-06-30,8
2020-07-01,3
2020-07-02,4
2020-07-03,2
2020-07-04,4
2020-07-05,2
2020-07-06,1
2020-07-07,3
2020-07-08,1
2020-07-09,2
2020-07-11,2
2020-07-12,4
2020-07-13,1
2020-07-14,3
2020-07-15,5
2020-07-16,5
2020-07-17,2
2020-07-18,3
2020-07-19,2
2020-07-20,2
2020-07-21,1
2020-07-22,2
2020-07-23,2
2020-07-24,5
2020-07-25,1
2020-07-26,2
2020-07-27,6
2020-07-28,1
2020-07-29,3
2020-07-30,2
2020-07-31,5
2020-08-01,1
2020-08-02,5
2020-08-03,5
2020-08-04,7
2020-08-05,5
2020-08-06,4
2020-08-07,7
2020-08-08,2
2020-08-09,5
2020-08-10,11
2020-08-11,12
2020-08-12,11
2020-08-13,14
2020-08-14,12
2020-08-15,10
2020-08-16,8
2020-08-17,7
2020-08-18,11
2020-08-19,10
2020-08-20,5
2020-08-21,3
2020-08-22,6
2020-08-23,4
2020-08-24,5
2020-08-25,5
2020-08-26,4
2020-08-27,3
2020-08-28,4
2020-08-29,6
2020-08-30,1
2020-08-31,3
2020-09-01,3
2020-09-02,3
2020-09-03,4
2020-09-04,2
2020-09-05,1
2020-09-06,3
2020-09-07,4
2020-09-08,3
2020-09-09,2
2020-09-10,3
2020-09-11,5
2020-09-12,1
2020-09-13,1
2020-09-14,4
2020-09-15,3
2020-09-16,4
2020-09-17,1
2020-09-18,6
2020-09-19,8
2020-09-20,3
2020-09-21,3
2020-09-22,1
2020-09-23,8
2020-09-24,5
2020-09-25,5
2020-09-26,7
2020-09-27,13
2020-09-28,13
2020-09-29,10
2020-09-30,6
2020-10-01,15
2020-10-02,12
2020-10-03,15
2020-10-04,15
2020-10-05,15
2020-10-06,19
2020-10-07,20
2020-10-08,20
2020-10-09,20
2020-10-10,22
2020-10-11,28
2020-10-12,36
2020-10-13,36
2020-10-14,42
2020-10-15,39
2020-10-16,36
2020-10-17,23
2020-10-18,31
2020-10-19,55
2020-10-20,53
2020-10-21,61
2020-10-22,57
2020-10-23,92
2020-10-24,96
2020-10-25,98
2020-10-26,123
2020-10-27,130
2020-10-28,143
2020-10-29,141
2020-10-30,185
2020-10-31,175
2020-11-01,166
2020-11-02,214
2020-11-03,175
2020-11-04,200
2020-11-05,211
2020-11-06,216
2020-11-07,210
2020-11-08,209
2020-11-09,198
2020-11-10,219
2020-11-11,196
2020-11-12,172
2020-11-13,183
2020-11-14,178
2020-11-15,193
2020-11-16,195
2020-11-17,160
2020-11-18,159
2020-11-19,172
2020-11-20,171
2020-11-21,142
2020-11-22,134
2020-11-23,142
2020-11-24,123
2020-11-25,139
2020-11-26,118
2020-11-27,126
2020-11-28,119
2020-11-29,119
2020-11-30,102
2020-12-01,111
2020-12-02,117
2020-12-03,95
2020-12-04,110
2020-12-05,87
2020-12-06,86
2020-12-07,98
2020-12-08,92
2020-12-09,89
2020-12-10,96
2020-12-11,114
2020-12-12,87
2020-12-13,92
2020-12-14,100
2020-12-15,103
2020-12-16,99
2020-12-17,90
2020-12-18,85
2020-12-19,93
2020-12-20,89
2020-12-21,71
2020-12-22,102
2020-12-23,94
2020-12-24,81
2020-12-25,69
2020-12-26,63
2020-12-27,61
2020-12-28,63
2020-12-29,77
2020-12-30,75
2020-12-31,88
2021-01-01,51
2021-01-02,64
2021-01-03,42
2021-01-04,59
2021-01-05,63
2021-01-06,57
2021-01-07,53
2021-01-08,50
2021-01-09,52
2021-01-10,57
2021-01-11,53
2021-01-12,51
2021-01-13,41
2021-01-14,62
2021-01-15,48
2021-01-16,47
2021-01-17,44
2021-01-18,58
2021-01-19,61
2021-01-20,49
2021-01-21,53
2021-01-22,49
2021-01-23,68
2021-01-24,39
2021-01-25,44
2021-01-26,53
2021-01-27,41
2021-01-28,55
2021-01-29,44
2021-01-30,29
2021-01-31,32
2021-02-01,40
2021-02-02,52
2021-02-03,43
2021-02-04,34
2021-02-05,57
2021-02-06,42
2021-02-07,41
2021-02-08,37
2021-02-09,41
2021-02-10,42
2021-02-11,35
2021-02-12,43
2021-02-13,31
2021-02-14,52
2021-02-15,37
2021-02-16,39
2021-02-17,29
2021-02-18,33
2021-02-19,30
2021-02-20,21
2021-02-21,26
2021-02-22,20
2021-02-23,25
2021-02-24,22
2021-02-25,29
2021-02-26,22
2021-02-27,29
2021-02-28,31
2021-03-01,31
2021-03-02,25
2021-03-03,26
2021-03-04,17
2021-03-05,33
2021-03-06,25
2021-03-07,19
2021-03-08,36
2021-03-09,23
2021-03-10,24
2021-03-11,27
2021-03-12,20
2021-03-13,25
2021-03-14,20
2021-03-15,25
2021-03-16,28
2021-03-17,25
2021-03-18,26
2021-03-19,31
2021-03-20,24
2021-03-21,24
2021-03-22,34
2021-03-23,24
2021-03-24,27
2021-03-25,34
2021-03-26,20
2021-03-27,28
2021-03-28,23
2021-03-29,31
2021-03-30,33
2021-03-31,31
2021-04-01,40
2021-04-02,46
2021-04-03,40
2021-04-04,36
2021-04-05,49
2021-04-06,46
2021-04-07,43
2021-04-08,43
2021-04-09,44
2021-04-10,46
2021-04-11,22
2021-04-12,44
2021-04-13,37
2021-04-14,39
2021-04-15,42
2021-04-16,45
2021-04-17,30
2021-04-18,35
2021-04-19,50
2021-04-20,36
2021-04-21,36
2021-04-22,43
2021-04-23,42
2021-04-24,36
2021-04-25,39
2021-04-26,44
2021-04-27,26
2021-04-28,49
2021-04-29,46
2021-04-30,33
2021-05-01,28
2021-05-02,34
2021-05-03,43
2021-05-04,40
2021-05-05,38
2021-05-06,38
2021-05-07,26
2021-05-08,42
2021-05-09,32
2021-05-10,28
2021-05-11,17
2021-05-12,19
2021-05-13,21
2021-05-14,20
2021-05-15,22
2021-05-16,17
2021-05-17,24
2021-05-18,17
2021-05-19,25
2021-05-20,16
2021-05-21,19
2021-05-22,18
2021-05-23,11
2021-05-24,19
2021-05-25,16
2021-05-26,14
2021-05-27,6
2021-05-28,11
2021-05-29,16
2021-05-30,18
2021-05-31,14
2021-06-01,11
2021-06-02,16
2021-06-03,15
2021-06-04,10
2021-06-05,13
2021-06-06,7
2021-06-07,5
2021-06-08,13
2021-06-09,6
2021-06-10,7
2021-06-11,9
2021-06-12,6
2021-06-13,4
2021-06-14,6
2021-06-15,6
2021-06-16,6
2021-06-17,7
2021-06-18,9
2021-06-19,6
2021-06-20,3
2021-06-21,5
2021-06-22,3
2021-06-23,5
2021-06-24,5
2021-06-25,5
2021-06-26,2
2021-06-27,3
2021-06-28,2
2021-06-29,5
2021-06-30,2
2021-07-01,5
2021-07-02,3
2021-07-03,3
2021-07-04,2
2021-07-05,3
2021-07-06,1
2021-07-08,2
2021-07-09,2
2021-07-10,5
2021-07-12,2
2021-07-14,1
2021-07-15,2
2021-07-16,2
2021-07-18,2
2021-07-21,3
2021-07-22,4
2021-07-23,2
2021-07-24,3
2021-07-25,2
2021-07-26,1
2021-07-27,4
2021-07-28,1
2021-07-29,6
2021-07-30,7
2021-07-31,3
2021-08-01,1
2021-08-02,5
2021-08-03,5
2021-08-04,4
2021-08-05,3
2021-08-06,3
2021-08-07,3
2021-08-08,3
2021-08-09,5
2021-08-10,2
2021-08-11,2
2021-08-12,3
2021-08-13,5
2021-08-14,4
2021-08-15,2
2021-08-16,5
2021-08-17,3
2021-08-18,4
2021-08-19,9
2021-08-20,9
2021-08-21,7
2021-08-22,7
2021-08-23,3
2021-08-24,6
2021-08-25,7
2021-08-26,6
2021-08-27,5
2021-08-28,4
2021-08-29,4
2021-08-30,5
2021-08-31,4
2021-09-01,7
2021-09-02,6
2021-09-03,6
2021-09-04,10
2021-09-05,8
2021-09-06,7
2021-09-07,9
2021-09-08,9
2021-09-09,6
2021-09-10,7
2021-09-11,7
2021-09-12,7
2021-09-13,7
2021-09-14,8
2021-09-15,7
2021-09-16,1
2021-09-17,5
2021-09-18,9
2021-09-19,7
2021-09-20,6
2021-09-21,5
2021-09-22,11
2021-09-23,11
2021-09-24,7
2021-09-25,7
2021-09-26,7
2021-09-27,13
2021-09-28,7
2021-09-29,7
2021-09-30,11
2021-10-01,6
2021-10-02,8
2021-10-03,8
2021-10-04,5
2021-10-05,14
2021-10-06,13
2021-10-07,11
2021-10-08,7
2021-10-09,11
2021-10-10,4
2021-10-11,18
2021-10-12,13
2021-10-13,8
2021-10-14,10
2021-10-15,18
2021-10-16,14
2021-10-17,10
2021-10-18,19
2021-10-19,13
2021-10-20,14
2021-10-21,10
2021-10-22,18
2021-10-23,20
2021-10-24,16
2021-10-25,18
2021-10-26,27
2021-10-27,33
2021-10-28,18
2021-10-29,21
2021-10-30,16
2021-10-31,18
2021-11-01,25
2021-11-02,20
2021-11-03,17
2021-11-04,26
2021-11-05,25
2021-11-06,30
2021-11-07,15
2021-11-08,28
2021-11-09,27
2021-11-10,26
2021-11-11,32
2021-11-12,39
2021-11-13,20
2021-11-14,27
2021-11-15,46
2021-11-16,29
2021-11-17,42
2021-11-18,43
2021-11-19,33
2021-11-20,36
2021-11-21,37
2021-11-22,36
2021-11-23,38
2021-11-24,49
2021-11-25,44
2021-11-26,41
2021-11-27,48
2021-11-28,47
2021-11-29,45
2021-11-30,61
2021-12-01,44
2021-12-02,53
2021-12-03,48
2021-12-04,45
2021-12-05,57
2021-12-06,39
2021-12-07,48
2021-12-08,55
2021-12-09,35
2021-12-10,48
2021-12-11,45
2021-12-12,44
2021-12-13,43
2021-12-14,37
2021-12-15,42
2021-12-16,37
2021-12-17,26
2021-12-18,36
2021-12-19,38
2021-12-20,36
2021-12-21,36
2021-12-22,37
2021-12-23,36
2021-12-24,35
2021-12-25,20
2021-12-26,22
2021-12-27,28
2021-12-28,21
2021-12-29,34
2021-12-30,29
2021-12-31,16
2022-01-01,22
2022-01-02,15
2022-01-03,25
2022-01-04,17
2022-01-05,14
2022-01-06,19
2022-01-07,19
2022-01-08,17
2022-01-09,23
2022-01-10,25
2022-01-11,24
2022-01-12,22
2022-01-13,22
2022-01-14,17
2022-01-15,14
2022-01-16,20
2022-01-17,32
2022-01-18,28
2022-01-19,37
2022-01-20,17
2022-01-21,23
2022-01-22,25
2022-01-23,16
2022-01-24,26
2022-01-25,37
2022-01-26,32
2022-01-27,29
2022-01-28,45
2022-01-29,27
2022-01-30,36
2022-01-31,29
2022-02-01,40
2022-02-02,48
2022-02-03,46
2022-02-04,61
2022-02-05,36
2022-02-06,40
2022-02-07,34
2022-02-08,48
2022-02-09,55
2022-02-10,66
2022-02-11,46
2022-02-12,38
2022-02-13,38
2022-02-14,52
2022-02-15,42
2022-02-16,33
2022-02-17,42
2022-02-18,47
2022-02-19,24
2022-02-20,31
2022-02-21,22
2022-02-22,29
2022-02-23,19
2022-02-24,21
2022-02-25,28
2022-02-26,20
2022-02-27,24
2022-02-28,16
2022-03-01,20
2022-03-02,21
2022-03-03,16
2022-03-04,22
2022-03-05,18
2022-03-06,10
2022-03-07,14
2022-03-08,30
2022-03-09,24
2022-03-10,18
2022-03-11,28
2022-03-12,18
2022-03-13,11
2022-03-14,24
2022-03-15,16
2022-03-16,18
2022-03-17,22
2022-03-18,20
2022-03-19,16
2022-03-20,18
2022-03-21,28
2022-03-22,20
2022-03-23,28
2022-03-24,21
2022-03-25,21
2022-03-26,25
2022-03-27,20
2022-03-28,26
2022-03-29,25
2022-03-30,26
2022-03-31,24
2022-04-01,23
2022-04-02,21
2022-04-03,22
2022-04-04,28
2022-04-05,22
2022-04-06,31
2022-04-07,16
2022-04-08,36
2022-04-09,17
2022-04-10,20
2022-04-11,25
